date;cultural_venues;gastronomy;essential_retail;non-essential_retail;major_events;events_and_gatherings;public_gatherings;traceability;tourism;traveling;school_facilities;university_facilities;sport_facilities;medical_facilities;mouth_and_nose_covering;curfew;new_infections
2021-04-01;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/appointment;prohibited;prohibitedw/ex_outdoors;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;258
2021-04-02;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/appointment;prohibited;prohibitedw/ex_outdoors;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;284
2021-04-03;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/appointment;prohibited;prohibitedw/ex_outdoors;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;261
2021-04-04;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/appointment;prohibited;prohibitedw/ex_outdoors;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;132
2021-04-05;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/appointment;prohibited;prohibitedw/ex_outdoors;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;213
2021-04-06;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/appointment;prohibited;prohibitedw/ex_outdoors;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;156
2021-04-07;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/appointment;prohibited;prohibitedw/ex_outdoors;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;265
2021-04-08;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/appointment;prohibited;prohibitedw/ex_outdoors;allowed_2h_5ppl;yes;prohibited;ra_10dqua_reg_5testM;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;261
2021-04-09;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/appointment;prohibited;prohibitedw/ex_outdoors;allowed_2h_5ppl;yes;prohibited;ra_testM_10dqua;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;214
2021-04-10;openw/appointment;closedw/dp;openw/lim_1p_10sqm;openw/appointment;prohibited;prohibitedw/ex_outdoors;allowed_2h_5ppl;yes;prohibited;ra_testM_10dqua;openw/meas;open_limited;closed;limited_visitsw/FFP2_test;mandatory_medical;no;297
